,Units,scenario,region,sector,subsector,technology,Year,value
46,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2035,0.0769345
47,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2040,0.0771221
48,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2045,0.0771668
49,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2050,0.0766201
50,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2055,0.0772462
51,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2060,0.0787501
52,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2065,0.0813027
53,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2070,0.0856752
54,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2075,0.089554
55,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2080,0.0928446
56,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2085,0.0966035
57,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2090,0.100792
58,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2095,0.105509
59,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2100,0.110879
60,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2005,0.320424
61,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2010,0.330841
62,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2015,0.318154
63,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2020,0.306393
64,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2025,0.303618
65,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2030,0.151529
66,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2035,0.149153
67,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2040,0.144131
68,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2045,0.138228
69,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2050,0.13178
70,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2055,0.129692
71,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2060,0.127784
72,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2065,0.126136
73,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2070,0.125056
74,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2075,0.124095
75,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2080,0.123342
76,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2085,0.122706
77,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2090,0.122167
78,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2095,0.121725
79,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2100,0.121417
80,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2005,0.281418
81,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2010,0.274331
82,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2015,0.267572
83,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2020,0.329523
84,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2025,0.329581
85,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2030,0.324889
86,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2035,0.160231
87,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2040,0.152454
88,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2045,0.144888
89,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2050,0.13738
90,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2055,0.137496
91,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2060,0.137737
92,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2065,0.137988
93,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2070,0.138417
94,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2075,0.138897
95,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2080,0.139444
96,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2085,0.13975
97,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2090,0.139841
