,Units,scenario,region,Year,value
74,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2035,105.44575267183718
75,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2040,122.54168955135736
76,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2045,146.88451830107184
77,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2050,173.1727395016129
78,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2055,195.9798255778447
79,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2060,212.41063485654945
80,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2065,216.15342229703703
81,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2070,208.61598097394887
82,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2075,195.57862285322742
83,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2080,181.59672699846234
84,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2085,166.22137198780462
85,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2090,149.63947499880342
86,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2095,133.46214971229392
87,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2100,117.93695559296114
88,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,1975,11.029971550000004
89,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,1990,28.6565529834
90,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2005,42.393505792999996
91,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2010,51.81652107199998
92,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2015,55.84299055699998
93,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2020,59.58033558943001
94,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2025,58.407624561724
95,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2030,54.11794158755001
96,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2035,48.03829736452003
97,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2040,42.65983047375
98,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2045,37.27149980337601
99,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2050,32.15013295841799
100,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2055,27.562655866917165
101,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2060,22.02828667401189
102,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2065,14.88022239661799
103,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2070,6.58414995377279
104,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2075,-3.4815363148729133
105,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2080,-13.480821154223436
106,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2085,-22.447090405518303
