,Units,scenario,region,sector,Year,value
80,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2050,11.630712613698204
81,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2055,13.211332972407144
82,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2060,14.275536624372503
83,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2065,14.934953695945962
84,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2070,15.304941978825294
85,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2075,15.689767124361799
86,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2080,16.00853025069085
87,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2085,16.074496749857794
88,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2090,15.891465222414471
89,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2095,15.436338053893767
90,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2100,14.802696644166636
91,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,1975,0.192
92,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,1990,0.299
93,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2005,0.725
94,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2010,1.093
95,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2015,1.093
96,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2020,1.510364
97,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2025,1.9520199599999999
98,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2030,2.6438316499999996
99,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2035,3.5271094900000004
100,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2040,4.6276915899999995
101,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2045,5.7042304999999995
102,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2050,6.254690901999999
103,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2055,6.529295333
