,region,scenario,technology,Year,value
188,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2065,23.206464882970998
189,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2070,19.9243677643684
190,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2075,17.123471193807305
191,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2080,14.788188323444666
192,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2085,12.74561450490393
193,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2090,10.81426640974551
194,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2095,9.003411811330112
195,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2100,7.238080270989331
196,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2025,0.511234394
197,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2030,1.165686292
198,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2035,1.497424762
199,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2040,1.4978220439999999
200,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2045,1.3210619890000002
201,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2050,1.1329602760000002
202,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2055,0.9832956454
203,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2060,0.89779147615
204,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2065,0.9267084410099999
205,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2070,1.0091461476899999
206,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2075,1.089231081574
207,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2080,1.2218504633801002
208,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2085,1.4229221650570198
209,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2090,1.7125397411000738
210,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2095,2.1892464892473416
211,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2100,2.889481700370263
212,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2005,73.30123708999999
213,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2010,88.87406170999999
214,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2015,103.57097249
215,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2020,114.30917146399997
216,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2025,112.210979972
217,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2030,109.35255044600001
218,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2035,108.09101454500001
219,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2040,107.53151965999999
220,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2045,108.46904606309998
221,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2050,107.74715306520001
222,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2055,107.94941540301998
223,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2060,105.30501721045002
224,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2065,101.30204179286203
225,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2070,95.57434114492679
226,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2075,86.63222803920716
227,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2080,73.90598218839867
228,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2085,60.29944173300299
229,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2090,48.10665805903601
230,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2095,38.26970926538215
231,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2100,29.224767309524054
232,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2005,1196.88334
233,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2010,1634.42581
234,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2015,1833.2726286200004
235,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2020,2114.99774
236,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2025,2016.1953680999998
237,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2030,1769.7050165699998
238,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2035,1371.7149045600002
239,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2040,1012.15925068
240,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2045,665.8606608300001
241,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2050,420.118569497
242,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2055,267.610711706
243,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2060,176.5086651928
244,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2065,118.9866956734
245,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2070,84.53429488099998
246,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2075,62.41159832180001
247,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2080,46.0750732577
248,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2085,33.40152894917001
249,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2090,23.680968773333
250,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2095,16.484758720260402
251,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2100,11.0806602709943
252,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2005,210.44616800000003
