,region,scenario,input,Year,value
93,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2090,1.8680050156299997
94,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2095,2.1150298182600005
95,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2100,2.3551155066450002
96,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2005,4.709754
97,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2010,5.271527000000001
98,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2015,5.865266200000001
99,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2020,6.2594255
100,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2025,6.2783973
101,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2030,6.3018146
102,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2035,6.1807819
103,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2040,6.0062753
104,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2045,5.4702082
105,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2050,4.3600591
106,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2055,3.2198379999999998
107,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2060,2.2463973
108,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2065,1.5222033
109,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2070,1.0382921999999999
110,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2075,0.7067152
111,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2080,0.4937163
112,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2085,0.3561418
