,Year,region,mode,technology,value
443,2045,Africa_Western,road,FCEV,0.12768086979999999
446,2045,Africa_Western,ship,BEV,0.0002360448
447,2045,Africa_Western,ship,FCEV,0.000402634
450,2045,Brazil,aviation,BEV,0.0023426052299999997
453,2045,Brazil,rail,BEV,0.00632941
454,2045,Brazil,rail,Electric,0.016605584
455,2045,Brazil,rail,FCEV,0.00933895
458,2045,Brazil,road,BEV,0.45936393640900003
459,2045,Brazil,road,FCEV,0.1397972164
463,2045,Brazil,ship,BEV,0.0003859114
464,2045,Brazil,ship,FCEV,0.000618457
467,2045,China,aviation,BEV,0.0427135254
470,2045,China,rail,BEV,0.241938
471,2045,China,rail,Electric,0.2598966
472,2045,China,rail,FCEV,0.312451
475,2045,China,road,BEV,0.772130366299
476,2045,China,road,FCEV,0.337981877
478,2045,China,road,LA-BEV,0.00248125
481,2045,China,ship,BEV,0.016894318
482,2045,China,ship,FCEV,0.01179617
485,2045,India,aviation,BEV,0.00918636436
488,2045,India,rail,BEV,0.0299673
489,2045,India,rail,Electric,0.0922392
490,2045,India,rail,FCEV,0.0443825
493,2045,India,road,BEV,0.7713472824689999
494,2045,India,road,FCEV,0.28910585744999995
498,2045,India,ship,BEV,0.00036177240000000003
499,2045,India,ship,FCEV,0.0010968010000000001
502,2045,South Asia,aviation,BEV,0.000235099714
505,2045,South Asia,rail,BEV,0.001220222
506,2045,South Asia,rail,Electric,0.000740771
507,2045,South Asia,rail,FCEV,0.001168838
510,2045,South Asia,road,BEV,0.16788339307599998
511,2045,South Asia,road,FCEV,0.064575371406
515,2045,South Asia,ship,BEV,0.00023008187
516,2045,South Asia,ship,FCEV,0.000192561
519,2050,Africa_Western,aviation,BEV,0.0104206344
522,2050,Africa_Western,rail,BEV,0.00223264
523,2050,Africa_Western,rail,Electric,0.0003020845
524,2050,Africa_Western,rail,FCEV,0.00294199
527,2050,Africa_Western,road,BEV,0.511552676663
528,2050,Africa_Western,road,FCEV,0.1804590349
531,2050,Africa_Western,ship,BEV,0.0006566578999999999
532,2050,Africa_Western,ship,FCEV,0.001381109
535,2050,Brazil,aviation,BEV,0.0057159355
538,2050,Brazil,rail,BEV,0.00676548
539,2050,Brazil,rail,Electric,0.018289359999999998
540,2050,Brazil,rail,FCEV,0.0100589
543,2050,Brazil,road,BEV,0.5077125570000001
544,2050,Brazil,road,FCEV,0.16283664099999998
548,2050,Brazil,ship,BEV,0.0009703681
549,2050,Brazil,ship,FCEV,0.001936924
552,2050,China,aviation,BEV,0.09838372990000001
555,2050,China,rail,BEV,0.258734
556,2050,China,rail,Electric,0.264817
557,2050,China,rail,FCEV,0.339918
560,2050,China,road,BEV,0.8356477709700001
561,2050,China,road,FCEV,0.36815258100000003
565,2050,China,ship,BEV,0.038386759
566,2050,China,ship,FCEV,0.0328037
569,2050,India,aviation,BEV,0.0255838078
572,2050,India,rail,BEV,0.0342969
573,2050,India,rail,Electric,0.0983789
574,2050,India,rail,FCEV,0.0511728
577,2050,India,road,BEV,1.0463593335999999
578,2050,India,road,FCEV,0.3570951587000001
582,2050,India,ship,BEV,0.0009149521
583,2050,India,ship,FCEV,0.003305647
586,2050,South Asia,aviation,BEV,0.0006837497199999999
589,2050,South Asia,rail,BEV,0.001405989
590,2050,South Asia,rail,Electric,0.001197804
591,2050,South Asia,rail,FCEV,0.001350833
594,2050,South Asia,road,BEV,0.222690376074
595,2050,South Asia,road,FCEV,0.08132766242999999
599,2050,South Asia,ship,BEV,0.00055459724
600,2050,South Asia,ship,FCEV,0.0005598765
