,Year,region,mode,technology,value
437,2045,Africa_Western,rail,BEV,0.00130775
438,2045,Africa_Western,rail,Electric,0.0002781142
439,2045,Africa_Western,rail,FCEV,0.00163778
442,2045,Africa_Western,road,BEV,0.17145179911799
443,2045,Africa_Western,road,FCEV,0.07771012498199999
446,2045,Africa_Western,ship,BEV,0.0002977316
447,2045,Africa_Western,ship,FCEV,0.000426041
450,2045,Brazil,aviation,BEV,0.0025854385
453,2045,Brazil,rail,BEV,0.00578617
454,2045,Brazil,rail,Electric,0.03933169
455,2045,Brazil,rail,FCEV,0.00840131
458,2045,Brazil,road,BEV,0.346544918288
459,2045,Brazil,road,FCEV,0.1164530333
463,2045,Brazil,ship,BEV,0.0005223229000000001
464,2045,Brazil,ship,FCEV,0.000604115
467,2045,China,aviation,BEV,0.044483154600000005
470,2045,China,rail,BEV,0.17371
471,2045,China,rail,Electric,0.19445639
472,2045,China,rail,FCEV,0.209435
475,2045,China,road,BEV,0.502477682736
476,2045,China,road,FCEV,0.26194216461000003
478,2045,China,road,LA-BEV,0.00096907
481,2045,China,ship,BEV,0.021943475
482,2045,China,ship,FCEV,0.01003455
485,2045,India,aviation,BEV,0.00856661524
488,2045,India,rail,BEV,0.0245934
489,2045,India,rail,Electric,0.08739389
490,2045,India,rail,FCEV,0.0353453
493,2045,India,road,BEV,0.8055782109099999
494,2045,India,road,FCEV,0.25084837921799996
498,2045,India,ship,BEV,0.0004342211
499,2045,India,ship,FCEV,0.000949266
502,2045,South Asia,aviation,BEV,0.00035834576
505,2045,South Asia,rail,BEV,0.0009936889999999999
506,2045,South Asia,rail,Electric,0.0010595142000000002
507,2045,South Asia,rail,FCEV,0.000804084
510,2045,South Asia,road,BEV,0.164832385344
511,2045,South Asia,road,FCEV,0.05825008602389999
515,2045,South Asia,ship,BEV,0.00064125841
516,2045,South Asia,ship,FCEV,0.0002865892
519,2050,Africa_Western,aviation,BEV,0.0126403387
522,2050,Africa_Western,rail,BEV,0.00153783
523,2050,Africa_Western,rail,Electric,0.0004261669
524,2050,Africa_Western,rail,FCEV,0.00191787
527,2050,Africa_Western,road,BEV,0.258439081139
528,2050,Africa_Western,road,FCEV,0.10652290237999999
531,2050,Africa_Western,ship,BEV,0.000951799
532,2050,Africa_Western,ship,FCEV,0.00152696
535,2050,Brazil,aviation,BEV,0.0068264041
538,2050,Brazil,rail,BEV,0.00638418
539,2050,Brazil,rail,Electric,0.04205806
540,2050,Brazil,rail,FCEV,0.00930269
543,2050,Brazil,road,BEV,0.39449415282
544,2050,Brazil,road,FCEV,0.130093861
548,2050,Brazil,ship,BEV,0.0015910569999999999
549,2050,Brazil,ship,FCEV,0.002045709
552,2050,China,aviation,BEV,0.114100862
555,2050,China,rail,BEV,0.188172
556,2050,China,rail,Electric,0.19731036999999998
557,2050,China,rail,FCEV,0.228273
560,2050,China,road,BEV,0.5637390146500001
561,2050,China,road,FCEV,0.27733817480000006
565,2050,China,ship,BEV,0.06125928
566,2050,China,ship,FCEV,0.032530699999999996
569,2050,India,aviation,BEV,0.0290119923
572,2050,India,rail,BEV,0.0273716
573,2050,India,rail,Electric,0.08724939000000001
574,2050,India,rail,FCEV,0.039211
577,2050,India,road,BEV,1.1597496982999997
578,2050,India,road,FCEV,0.28612198035
582,2050,India,ship,BEV,0.0014871370000000001
583,2050,India,ship,FCEV,0.0032360649999999998
586,2050,South Asia,aviation,BEV,0.0012160394999999999
589,2050,South Asia,rail,BEV,0.001124204
590,2050,South Asia,rail,Electric,0.0016241607
591,2050,South Asia,rail,FCEV,0.000881922
594,2050,South Asia,road,BEV,0.22976068755
595,2050,South Asia,road,FCEV,0.067328602973
599,2050,South Asia,ship,BEV,0.0019064487
600,2050,South Asia,ship,FCEV,0.0009551640000000001
603,2055,Africa_Western,aviation,BEV,0.0340128708
606,2055,Africa_Western,rail,BEV,0.00179135
607,2055,Africa_Western,rail,Electric,0.0006441592999999999
608,2055,Africa_Western,rail,FCEV,0.00220444
611,2055,Africa_Western,road,BEV,0.34359246403999993
612,2055,Africa_Western,road,FCEV,0.13237512541000002
615,2055,Africa_Western,ship,BEV,0.002319885
616,2055,Africa_Western,ship,FCEV,0.003188512
619,2055,Brazil,aviation,BEV,0.0142865047
