,region,Year,sector,value
233,South Asia,2085,other industrial energy use,0.02215889815
234,South Asia,2085,process heat cement,0.0466666082
235,South Asia,2085,resid heating,0.0889113
236,South Asia,2085,resid others,0.061920199999999995
237,South Asia,2085,trn_aviation_intl,0.020200290000000003
238,South Asia,2085,trn_freight,0.0035633089999999997
239,South Asia,2085,trn_freight_road,0.096010577
240,South Asia,2085,trn_pass,0.0178513
241,South Asia,2085,trn_pass_road,0.01280504
242,South Asia,2085,trn_pass_road_LDV_4W,0.00933359906
243,South Asia,2085,trn_shipping_intl,0.03656239
